time,fan
Wed Oct 28 07:00:47 AM CET 2020 ,		3849
Wed Oct 28 07:00:47 AM CET 2020 ,		3850
Wed Oct 28 07:00:48 AM CET 2020 ,		3850
Wed Oct 28 07:00:48 AM CET 2020 ,		3853
Wed Oct 28 07:00:49 AM CET 2020 ,		3853
Wed Oct 28 07:00:49 AM CET 2020 ,		3854
Wed Oct 28 07:00:50 AM CET 2020 ,		3854
Wed Oct 28 07:00:50 AM CET 2020 ,		3855
Wed Oct 28 07:00:51 AM CET 2020 ,		3855
Wed Oct 28 07:00:51 AM CET 2020 ,		3850
Wed Oct 28 07:00:52 AM CET 2020 ,		3850
Wed Oct 28 07:00:52 AM CET 2020 ,		3852
Wed Oct 28 07:00:53 AM CET 2020 ,		3852
Wed Oct 28 07:00:53 AM CET 2020 ,		3849
Wed Oct 28 07:00:54 AM CET 2020 ,		3849
Wed Oct 28 07:00:55 AM CET 2020 ,		3849
Wed Oct 28 07:00:55 AM CET 2020 ,		3849
Wed Oct 28 07:00:56 AM CET 2020 ,		3851
Wed Oct 28 07:00:56 AM CET 2020 ,		3851
Wed Oct 28 07:00:57 AM CET 2020 ,		3846
Wed Oct 28 07:00:57 AM CET 2020 ,		3846
Wed Oct 28 07:00:58 AM CET 2020 ,		3851
Wed Oct 28 07:00:58 AM CET 2020 ,		3851
Wed Oct 28 07:00:59 AM CET 2020 ,		3858
Wed Oct 28 07:00:59 AM CET 2020 ,		3858
Wed Oct 28 07:01:00 AM CET 2020 ,		3851
Wed Oct 28 07:01:00 AM CET 2020 ,		3851
Wed Oct 28 07:01:01 AM CET 2020 ,		3840
Wed Oct 28 07:01:01 AM CET 2020 ,		3840
Wed Oct 28 07:01:02 AM CET 2020 ,		3836
Wed Oct 28 07:01:02 AM CET 2020 ,		3836
Wed Oct 28 07:01:03 AM CET 2020 ,		3841
Wed Oct 28 07:01:03 AM CET 2020 ,		3841
Wed Oct 28 07:01:04 AM CET 2020 ,		3846
Wed Oct 28 07:01:04 AM CET 2020 ,		3846
Wed Oct 28 07:01:05 AM CET 2020 ,		3837
Wed Oct 28 07:01:05 AM CET 2020 ,		3837
Wed Oct 28 07:01:06 AM CET 2020 ,		3839
Wed Oct 28 07:01:06 AM CET 2020 ,		3839
Wed Oct 28 07:01:07 AM CET 2020 ,		3846
Wed Oct 28 07:01:07 AM CET 2020 ,		3846
Wed Oct 28 07:01:08 AM CET 2020 ,		3848
Wed Oct 28 07:01:08 AM CET 2020 ,		3848
Wed Oct 28 07:01:09 AM CET 2020 ,		3850
Wed Oct 28 07:01:09 AM CET 2020 ,		3850
Wed Oct 28 07:01:10 AM CET 2020 ,		3839
Wed Oct 28 07:01:10 AM CET 2020 ,		3839
Wed Oct 28 07:01:11 AM CET 2020 ,		3869
Wed Oct 28 07:01:11 AM CET 2020 ,		3869
Wed Oct 28 07:01:12 AM CET 2020 ,		3861
Wed Oct 28 07:01:12 AM CET 2020 ,		3861
Wed Oct 28 07:01:13 AM CET 2020 ,		3874
Wed Oct 28 07:01:13 AM CET 2020 ,		3874
Wed Oct 28 07:01:14 AM CET 2020 ,		3868
Wed Oct 28 07:01:14 AM CET 2020 ,		3868
Wed Oct 28 07:01:15 AM CET 2020 ,		3891
Wed Oct 28 07:01:15 AM CET 2020 ,		3891
Wed Oct 28 07:01:16 AM CET 2020 ,		3926
Wed Oct 28 07:01:16 AM CET 2020 ,		3926
Wed Oct 28 07:01:17 AM CET 2020 ,		3938
Wed Oct 28 07:01:17 AM CET 2020 ,		3938
Wed Oct 28 07:01:18 AM CET 2020 ,		3927
Wed Oct 28 07:01:18 AM CET 2020 ,		3927
Wed Oct 28 07:01:19 AM CET 2020 ,		3939
Wed Oct 28 07:01:19 AM CET 2020 ,		3939
Wed Oct 28 07:01:20 AM CET 2020 ,		3926
Wed Oct 28 07:01:20 AM CET 2020 ,		3926
Wed Oct 28 07:01:21 AM CET 2020 ,		3911
Wed Oct 28 07:01:21 AM CET 2020 ,		3911
Wed Oct 28 07:01:22 AM CET 2020 ,		3935
Wed Oct 28 07:01:23 AM CET 2020 ,		3935
Wed Oct 28 07:01:23 AM CET 2020 ,		3925
Wed Oct 28 07:01:24 AM CET 2020 ,		3925
Wed Oct 28 07:01:24 AM CET 2020 ,		3954
Wed Oct 28 07:01:25 AM CET 2020 ,		3954
Wed Oct 28 07:01:25 AM CET 2020 ,		3951
Wed Oct 28 07:01:26 AM CET 2020 ,		3951
Wed Oct 28 07:01:26 AM CET 2020 ,		3937
Wed Oct 28 07:01:27 AM CET 2020 ,		3937
Wed Oct 28 07:01:27 AM CET 2020 ,		3934
Wed Oct 28 07:01:28 AM CET 2020 ,		3934
Wed Oct 28 07:01:28 AM CET 2020 ,		3930
Wed Oct 28 07:01:29 AM CET 2020 ,		3930
Wed Oct 28 07:01:29 AM CET 2020 ,		3925
Wed Oct 28 07:01:30 AM CET 2020 ,		3925
Wed Oct 28 07:01:30 AM CET 2020 ,		3925
Wed Oct 28 07:01:31 AM CET 2020 ,		3925
Wed Oct 28 07:01:31 AM CET 2020 ,		3928
Wed Oct 28 07:01:32 AM CET 2020 ,		3928
Wed Oct 28 07:01:32 AM CET 2020 ,		3912
Wed Oct 28 07:01:33 AM CET 2020 ,		3912
Wed Oct 28 07:01:33 AM CET 2020 ,		3896
Wed Oct 28 07:01:34 AM CET 2020 ,		3896
Wed Oct 28 07:01:34 AM CET 2020 ,		3898
Wed Oct 28 07:01:35 AM CET 2020 ,		3898
Wed Oct 28 07:01:35 AM CET 2020 ,		3890
Wed Oct 28 07:01:36 AM CET 2020 ,		3890
Wed Oct 28 07:01:36 AM CET 2020 ,		3901
Wed Oct 28 07:01:37 AM CET 2020 ,		3901
Wed Oct 28 07:01:37 AM CET 2020 ,		3873
Wed Oct 28 07:01:38 AM CET 2020 ,		3873
Wed Oct 28 07:01:38 AM CET 2020 ,		3876
Wed Oct 28 07:01:39 AM CET 2020 ,		3876
Wed Oct 28 07:01:39 AM CET 2020 ,		3929
Wed Oct 28 07:01:40 AM CET 2020 ,		3929
Wed Oct 28 07:01:40 AM CET 2020 ,		3923
Wed Oct 28 07:01:41 AM CET 2020 ,		3923
Wed Oct 28 07:01:41 AM CET 2020 ,		3891
Wed Oct 28 07:01:42 AM CET 2020 ,		3891
Wed Oct 28 07:01:42 AM CET 2020 ,		3865
Wed Oct 28 07:01:43 AM CET 2020 ,		3865
Wed Oct 28 07:01:43 AM CET 2020 ,		3850
Wed Oct 28 07:01:44 AM CET 2020 ,		3850
Wed Oct 28 07:01:44 AM CET 2020 ,		3850
Wed Oct 28 07:01:45 AM CET 2020 ,		3850
Wed Oct 28 07:01:45 AM CET 2020 ,		3830
Wed Oct 28 07:01:46 AM CET 2020 ,		3830
Wed Oct 28 07:01:46 AM CET 2020 ,		3835
Wed Oct 28 07:01:47 AM CET 2020 ,		3835
Wed Oct 28 07:01:47 AM CET 2020 ,		3827
Wed Oct 28 07:01:48 AM CET 2020 ,		3827
Wed Oct 28 07:01:48 AM CET 2020 ,		3833
Wed Oct 28 07:01:49 AM CET 2020 ,		3833
Wed Oct 28 07:01:50 AM CET 2020 ,		3825
Wed Oct 28 07:01:50 AM CET 2020 ,		3825
Wed Oct 28 07:01:51 AM CET 2020 ,		3817
Wed Oct 28 07:01:51 AM CET 2020 ,		3817
Wed Oct 28 07:01:52 AM CET 2020 ,		3787
Wed Oct 28 07:01:52 AM CET 2020 ,		3787
Wed Oct 28 07:01:53 AM CET 2020 ,		3784
Wed Oct 28 07:01:53 AM CET 2020 ,		3784
Wed Oct 28 07:01:54 AM CET 2020 ,		3801
Wed Oct 28 07:01:54 AM CET 2020 ,		3801
Wed Oct 28 07:01:55 AM CET 2020 ,		3805
Wed Oct 28 07:01:55 AM CET 2020 ,		3805
Wed Oct 28 07:01:56 AM CET 2020 ,		3804
Wed Oct 28 07:01:56 AM CET 2020 ,		3804
Wed Oct 28 07:01:57 AM CET 2020 ,		3811
Wed Oct 28 07:01:57 AM CET 2020 ,		3811
Wed Oct 28 07:01:58 AM CET 2020 ,		3798
Wed Oct 28 07:01:58 AM CET 2020 ,		3798
Wed Oct 28 07:01:59 AM CET 2020 ,		3795
Wed Oct 28 07:01:59 AM CET 2020 ,		3795
Wed Oct 28 07:02:00 AM CET 2020 ,		3796
Wed Oct 28 07:02:00 AM CET 2020 ,		3796
Wed Oct 28 07:02:01 AM CET 2020 ,		3787
Wed Oct 28 07:02:01 AM CET 2020 ,		3787
Wed Oct 28 07:02:02 AM CET 2020 ,		3781
Wed Oct 28 07:02:02 AM CET 2020 ,		3781
Wed Oct 28 07:02:03 AM CET 2020 ,		3786
Wed Oct 28 07:02:03 AM CET 2020 ,		3786
Wed Oct 28 07:02:04 AM CET 2020 ,		3794
Wed Oct 28 07:02:04 AM CET 2020 ,		3794
Wed Oct 28 07:02:05 AM CET 2020 ,		3786
Wed Oct 28 07:02:05 AM CET 2020 ,		3786
Wed Oct 28 07:02:06 AM CET 2020 ,		3781
Wed Oct 28 07:02:06 AM CET 2020 ,		3781
Wed Oct 28 07:02:07 AM CET 2020 ,		3782
Wed Oct 28 07:02:07 AM CET 2020 ,		3782
Wed Oct 28 07:02:08 AM CET 2020 ,		3778
Wed Oct 28 07:02:08 AM CET 2020 ,		3778
Wed Oct 28 07:02:09 AM CET 2020 ,		3772
Wed Oct 28 07:02:09 AM CET 2020 ,		3772
Wed Oct 28 07:02:10 AM CET 2020 ,		3768
Wed Oct 28 07:02:10 AM CET 2020 ,		3768
Wed Oct 28 07:02:11 AM CET 2020 ,		3761
Wed Oct 28 07:02:11 AM CET 2020 ,		3761
Wed Oct 28 07:02:12 AM CET 2020 ,		3749
Wed Oct 28 07:02:12 AM CET 2020 ,		3749
Wed Oct 28 07:02:13 AM CET 2020 ,		3720
Wed Oct 28 07:02:13 AM CET 2020 ,		3720
Wed Oct 28 07:02:14 AM CET 2020 ,		3629
Wed Oct 28 07:02:14 AM CET 2020 ,		3629
Wed Oct 28 07:02:15 AM CET 2020 ,		3175
Wed Oct 28 07:02:15 AM CET 2020 ,		3175
Wed Oct 28 07:02:16 AM CET 2020 ,		3010
Wed Oct 28 07:02:17 AM CET 2020 ,		3010
Wed Oct 28 07:02:17 AM CET 2020 ,		2888
Wed Oct 28 07:02:18 AM CET 2020 ,		2888
Wed Oct 28 07:02:18 AM CET 2020 ,		2831
Wed Oct 28 07:02:19 AM CET 2020 ,		2831
Wed Oct 28 07:02:19 AM CET 2020 ,		2831
Wed Oct 28 07:02:20 AM CET 2020 ,		2831
Wed Oct 28 07:02:20 AM CET 2020 ,		2867
Wed Oct 28 07:02:21 AM CET 2020 ,		2867
Wed Oct 28 07:02:21 AM CET 2020 ,		2870
Wed Oct 28 07:02:22 AM CET 2020 ,		2870
Wed Oct 28 07:02:22 AM CET 2020 ,		2859
Wed Oct 28 07:02:23 AM CET 2020 ,		2859
Wed Oct 28 07:02:23 AM CET 2020 ,		2849
Wed Oct 28 07:02:24 AM CET 2020 ,		2849
Wed Oct 28 07:02:24 AM CET 2020 ,		2848
Wed Oct 28 07:02:25 AM CET 2020 ,		2848
Wed Oct 28 07:02:25 AM CET 2020 ,		2853
Wed Oct 28 07:02:26 AM CET 2020 ,		2853
Wed Oct 28 07:02:26 AM CET 2020 ,		2838
Wed Oct 28 07:02:27 AM CET 2020 ,		2838
Wed Oct 28 07:02:27 AM CET 2020 ,		2831
Wed Oct 28 07:02:28 AM CET 2020 ,		2831
Wed Oct 28 07:02:28 AM CET 2020 ,		2828
Wed Oct 28 07:02:29 AM CET 2020 ,		2828
