,text,location,href,twiv_nr,covid_update_nr
157,TWiV 865: COVID-19 clinical update #101 with Dr. Daniel Griffin,"{'x': 569, 'y': 7789}",https://www.youtube.com/watch?v=tTW-8eUPnQI,865,101
161,TWiV 862: COVID-19 clinical update #100 with Dr. Daniel Griffin,"{'x': 355, 'y': 8023}",https://www.youtube.com/watch?v=j3kafmy08hA,862,100
167,TWiV 859: COVID-19 clinical update #99 with Dr. Daniel Griffin,"{'x': 569, 'y': 8257}",https://www.youtube.com/watch?v=G1xDmNZ_5nc,859,99
174,TWiV 856: COVID-19 clinical update #98 with Dr. Daniel Griffin,"{'x': 997, 'y': 8491}",https://www.youtube.com/watch?v=jrTK5bi8Fic,856,98
178,TWiV 853: COVID-19 clinical update #97 with Dr. Daniel Griffin,"{'x': 783, 'y': 8707}",https://www.youtube.com/watch?v=5U8SQtv9ZQg,853,97
183,TWiV 850: COVID-19 clinical update #96 with Dr. Daniel Griffin,"{'x': 783, 'y': 8941}",https://www.youtube.com/watch?v=DTysKBBRL_Y,850,96
187,TWiV 848: COVID-19 clinical update #95 with Dr. Daniel Griffin,"{'x': 569, 'y': 9175}",https://www.youtube.com/watch?v=ozI1U6csH8c,848,95
194,TWiV 845: COVID-19 clinical update #94 with Dr. Daniel Griffin,"{'x': 997, 'y': 9409}",https://www.youtube.com/watch?v=amKz4br3NS4,845,94
201,TWiV 843: COVID-19 clinical update #93 with Dr. Daniel Griffin,"{'x': 355, 'y': 9877}",https://www.youtube.com/watch?v=5gFit8X0_AY,843,93
207,TWiV 840: COVID-19 clinical update #92 with Dr. Daniel Griffin,"{'x': 569, 'y': 10111}",https://www.youtube.com/watch?v=z1xEifNJ8wc,840,92
213,TWiV 837: COVID-19 clinical update #91 with Dr. Daniel Griffin,"{'x': 783, 'y': 10345}",https://www.youtube.com/watch?v=Xfj7CRepIy0,837,91
219,TWiV 834: COVID-19 clinical update #90 with Dr. Daniel Griffin,"{'x': 997, 'y': 10561}",https://www.youtube.com/watch?v=Q81OXKjO6RQ,834,90
226,TWiV 831: COVID-19 clinical update #89 with Dr. Daniel Griffin,"{'x': 355, 'y': 11029}",https://www.youtube.com/watch?v=CxB59uJ5b6k,831,89
232,TWiV 828: COVID-19 clinical update #88 with Dr. Daniel Griffin,"{'x': 569, 'y': 11263}",https://www.youtube.com/watch?v=FqYgPpa7TAk,828,88
238,TWiV 826: COVID-19 clinical update #87 with Dr. Daniel Griffin,"{'x': 783, 'y': 11497}",https://www.youtube.com/watch?v=L1VpG6wa5y0,826,87
244,TWiV 823: COVID-19 clinical update #86 with Dr. Daniel Griffin,"{'x': 997, 'y': 11731}",https://www.youtube.com/watch?v=xgXFQkTotCM,823,86
251,TWiV 820: COVID-19 clinical update #85 with Dr. Daniel Griffin,"{'x': 355, 'y': 12199}",https://www.youtube.com/watch?v=Oen5WZxoIsA,820,85
258,TWiV 817: COVID-19 clinical update #84 with Dr. Daniel Griffin,"{'x': 783, 'y': 12433}",https://www.youtube.com/watch?v=6RyBA2C4RaQ,817,84
266,TWiV 814: COVID-19 clinical update #83 with Dr. Daniel Griffin,"{'x': 355, 'y': 12901}",https://www.youtube.com/watch?v=gK5UEAU2BEM,814,83
272,TWiV 811: COVID-19 clinical update #82 with Dr. Daniel Griffin,"{'x': 569, 'y': 13135}",https://www.youtube.com/watch?v=YHuZMXZExeY,811,82
278,TWiV 808: COVID-19 clinical update #81 with Dr. Daniel Griffin,"{'x': 783, 'y': 13369}",https://www.youtube.com/watch?v=cakFv8jmqjs,808,81
282,TWiV 806: COVID-19 clinical update #80 with Dr. Daniel Griffin,"{'x': 569, 'y': 13603}",https://www.youtube.com/watch?v=jgNMnaO52nk,806,80
288,TWiV 803: COVID-19 clinical update #79 with Dr. Daniel Griffin,"{'x': 783, 'y': 13819}",https://www.youtube.com/watch?v=ohTQEqb_Jeg,803,79
