Package                                    Size MiB  Build Seconds  Build Time
dev-python/pyyaml                                 1              0  -
dev-python/requests                               1              0  -
dev-python/setuptools-scm                         1              0  -
dev-python/typing-extensions                      1              0  -
dev-qt/qt5compat                                  1              0  -
dev-ruby/asciidoctor                              1              0  -
dev-ruby/bundler                                  1              0  -
dev-ruby/net-imap                                 1              0  -
dev-util/gdbus-codegen                            1              0  -
dev-util/pahole                                   1              0  -
media-fonts/encodings                             1              0  -
media-libs/alsa-ucm-conf                          1              0  -
media-libs/flac                                   1              0  -
media-libs/imlib2                                 1              0  -
media-libs/lcms                                   1              0  -
media-libs/libplacebo                             1              0  -
media-libs/libpng                                 1              0  -
media-libs/libsndfile                             1              0  -
media-libs/libva                                  1              0  -
media-libs/libvorbis                              1              0  -
media-libs/libwebp                                1              0  -
media-libs/openjpeg                               1              0  -
media-libs/opus                                   1              0  -
media-libs/speexdsp                               1              0  -
media-sound/lame                                  1              0  -
media-sound/mpg123-base                           1              0  -
net-analyzer/macchanger                           1              0  -
net-dns/dnsmasq                                   1              0  -
net-dns/libidn2                                   1              0  -
net-libs/libmicrohttpd                            1              0  -
net-libs/libpcap                                  1              0  -
net-libs/libssh                                   1              0  -
net-libs/libssh2                                  1              0  -
net-misc/chrony                                   1              0  -
net-misc/mosh                                     1              0  -
net-misc/rsync                                    1              0  -
net-misc/socat                                    1              0  -
sys-apps/dbus                                     1              0  -
sys-apps/ethtool                                  1              0  -
sys-apps/grep                                     1              0  -
sys-apps/net-tools                                1              0  -
sys-apps/sed                                      1              0  -
sys-apps/smartmontools                            1              0  -
sys-devel/flex                                    1              0  -
sys-devel/m4                                      1              0  -
sys-fs/squashfs-tools                             1              0  -
sys-kernel/dracut                                 1              0  -
sys-libs/gdbm                                     1              0  -
sys-libs/libnvme                                  1              0  -
sys-libs/timezone-data                            1              0  -
sys-power/tlp                                     1              0  -
sys-process/psmisc                                1              0  -
sys-process/tini                                  1              0  -
x11-base/xcb-proto                                1              0  -
x11-base/xorg-proto                               1              0  -
x11-drivers/xf86-video-ati                        1              0  -
x11-libs/libdrm                                   1              0  -
x11-libs/libXaw                                   1              0  -
x11-libs/libXaw3d                                 1              0  -
x11-libs/libxkbcommon                             1              0  -
x11-libs/libXt                                    1              0  -
x11-libs/pixman                                   1              0  -
x11-misc/compose-tables                           1              0  -
x11-misc/xorg-cf-files                            1              0  -
acct-group/audio                                  0              0  -
acct-group/cdrom                                  0              0  -
acct-group/cuse                                   0              0  -
acct-group/dhcp                                   0              0  -
acct-group/dialout                                0              0  -
acct-group/disk                                   0              0  -
